id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160223130,2026-01-05,2026-01-05T11:09:47,swim,Swim,Lunch Swim,2023,2622,1800.0,29.0,0.631,,,,,,,,,intervals
i160223026,2026-01-13,2026-01-13T14:41:57,swim,Swim,Afternoon Swim,1986,2610,1800.0,26.0,0.599,,,,,,,,,intervals
i160223000,2026-01-15,2026-01-15T09:14:41,swim,Swim,Morning Swim,2040,3640,1900.0,19.0,0.434,,,,,,,,,intervals
i160222944,2026-01-20,2026-01-20T14:18:57,swim,Swim,Afternoon Swim,1930,2547,1700.0,24.0,0.583,,,,,,,,,intervals
i160222888,2026-01-23,2026-01-23T07:29:04,swim,Swim,Morning Swim,1802,2344,1575.0,22.0,0.581,,,,,,,,,intervals
i160222850,2026-01-26,2026-01-26T14:37:25,swim,Swim,Afternoon Swim,2261,2906,2000.0,26.0,0.568,,,,,,,,,intervals
i160222794,2026-01-29,2026-01-29T11:05:53,swim,Swim,Lunch Swim,2141,2892,2000.0,25.0,0.558,,,,,,,,,intervals
i160222673,2026-02-05,2026-02-05T09:16:14,swim,Swim,Morning Swim,2368,3788,2175.0,28.0,0.516,,,,,,,,,intervals
i160222644,2026-02-09,2026-02-09T14:00:05,swim,Swim,Afternoon Swim,2274,2829,2000.0,32.0,0.638,,,,,,,,,intervals
i160222589,2026-02-12,2026-02-12T12:06:14,swim,Swim,Lunch Swim,2350,2481,2000.0,27.0,0.626,,,,,,,,,intervals
i160222519,2026-02-18,2026-02-18T06:29:03,swim,Swim,Morning Swim,1807,1999,1500.0,14.0,0.502,,,,,,,,,intervals
i160222499,2026-02-20,2026-02-20T07:21:59,swim,Swim,Morning Swim,2119,2898,1800.0,25.0,0.557,,,,,,,,,intervals
i160222435,2026-02-25,2026-02-25T15:02:38,swim,Swim,Afternoon Swim,2253,2938,2000.0,28.0,0.586,,,,,,,,,intervals
i160222341,2026-03-04,2026-03-04T06:18:43,swim,Swim,Morning Swim,2346,2511,1900.0,18.0,0.508,,,,,,,,,intervals
i160222311,2026-03-06,2026-03-06T07:29:01,swim,Swim,Morning Swim,2313,2732,2000.0,27.0,0.597,,,,,,,,,intervals
i160222245,2026-03-11,2026-03-11T15:13:30,swim,Swim,Afternoon Swim,2188,2849,2000.0,25.0,0.562,,,,,,,,,intervals
i160222233,2026-03-12,2026-03-12T06:03:44,swim,Swim,Morning Swim,2282,2787,2000.0,36.0,0.682,,,,,,,,,intervals
i160222206,2026-03-13,2026-03-13T07:35:20,swim,Swim,Morning Swim,2138,2525,2000.0,27.0,0.621,,,,,,,,,intervals
i160222146,2026-03-18,2026-03-18T13:12:20,swim,Swim,Afternoon Swim,2237,2885,2000.0,29.0,0.602,,,,,,,,,intervals
i160222121,2026-03-20,2026-03-20T06:12:19,swim,Swim,Morning Swim,2040,2990,2000.0,26.0,0.56,,,,,,,,,intervals
i160222063,2026-03-23,2026-03-23T09:08:12,swim,Swim,Morning Swim,2234,2892,2000.0,36.0,0.67,,,,,,,,,intervals
i160222030,2026-03-25,2026-03-25T13:08:17,swim,Swim,Afternoon Swim,2164,2816,2000.0,29.0,0.609,,,,,,,,,intervals
i160221997,2026-03-27,2026-03-27T07:27:03,swim,Swim,Morning Swim,2064,2424,2000.0,25.0,0.609,,,,,,,,,intervals
i160221924,2026-04-01,2026-04-01T13:08:10,swim,Swim,Afternoon Swim,2286,2969,2000.0,23.0,0.528,,,,,,,,,intervals
i160221894,2026-04-03,2026-04-03T08:25:58,swim,Swim,Morning Swim,1507,2136,1500.0,22.0,0.609,,,,,,,,,intervals
i160221797,2026-04-08,2026-04-08T09:56:27,swim,Swim,Morning Swim,2292,2911,2000.0,27.0,0.578,,,,,,,,,intervals
i160221782,2026-04-09,2026-04-09T06:04:30,swim,Swim,Morning Swim,2264,2774,2000.0,31.0,0.634,,,,,,,,,intervals
i160221729,2026-04-13,2026-04-13T10:00:11,swim,Swim,Morning Swim,2349,2990,2000.0,30.0,0.601,,,,,,,,,intervals
i160221679,2026-04-15,2026-04-15T14:23:53,swim,Swim,Afternoon Swim,2171,2758,2000.0,28.0,0.605,,,,,,,,,intervals
i160221580,2026-04-22,2026-04-22T10:12:41,swim,Swim,Morning Swim,2248,2741,2000.0,32.0,0.648,,,,,,,,,intervals
i160221471,2026-04-27,2026-04-27T11:05:06,swim,Swim,Lunch Swim,2193,2673,2000.0,28.0,0.614,,,,,,,,,intervals
i160221434,2026-04-30,2026-04-30T06:06:28,swim,Swim,Morning Swim,1905,2806,1700.0,18.0,0.481,,,,,,,,,intervals
i160221360,2026-05-06,2026-05-06T10:10:51,swim,Swim,Morning Swim,2171,2842,2000.0,26.0,0.574,,,,,,,,,intervals
i160221265,2026-05-13,2026-05-13T10:09:30,swim,Swim,Morning Swim,1934,2492,1725.0,23.0,0.577,,,,,,,,,intervals
i160221198,2026-05-16,2026-05-16T17:04:34,swim,Swim,Afternoon Swim,2087,3111,2100.0,25.0,0.538,,,,,,,,,intervals
i160221063,2026-05-22,2026-05-22T18:13:41,swim,Swim,Hotel Swim,442,571,420.0,6.0,,,,,,,,,,intervals
i160221039,2026-05-26,2026-05-26T13:35:18,swim,Swim,Afternoon Swim,1284,1510,1200.0,18.0,0.655,,,,,,,,,intervals
i154260206,2026-06-04,2026-06-04T12:37:40,swim,Swim,Pool Swim,1796,5873,1500.0,8.0,0.281,,,,,,,,,intervals
i156004059,2026-06-10,2026-06-10T10:00:17,swim,Swim,Pool Swim,1853,2922,1500.0,14.0,0.424,,,,,,,,,intervals
i157746902,2026-06-16,2026-06-16T14:29:14,swim,Swim,Pool Swim,1909,2438,1600.0,13.0,0.438,,,,,,,,,intervals
i158338271,2026-06-18,2026-06-18T14:20:50,swim,Swim,Pool Swim,1832,2241,1500.0,15.0,0.491,,,,,,,,,intervals
i159996458,2026-06-24,2026-06-24T15:47:36,swim,Swim,Natación en piscina,1768,2513,1600.0,15.0,0.464,,,,,,,,,intervals
