id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160223170,2026-01-03,2026-01-03T11:33:46,bike,Ride,Lunch Ride,2087,2197,17554.46,30.0,0.714,200.0,,280.0,,,19.608002,,,intervals
i160223090,2026-01-09,2026-01-09T15:49:21,bike,Ride,Afternoon Ride,4565,5211,46711.53,32.0,0.504,141.0,,280.0,,,3.7099252,,,intervals
i160223070,2026-01-11,2026-01-11T08:28:22,bike,Ride,Morning Ride,2410,2514,18954.79,36.0,0.736,206.0,,280.0,,,8.703749,,,intervals
i160223014,2026-01-14,2026-01-14T16:22:16,bike,Ride,Afternoon Ride,2711,2905,20039.56,5.0,0.261,73.0,,280.0,,,-0.7917356,,,intervals
i160222987,2026-01-16,2026-01-16T13:00:02,bike,Ride,Afternoon Ride,2927,2927,19136.92,49.0,0.775,217.0,,280.0,,,6.6947846,,,intervals
i160222916,2026-01-21,2026-01-21T16:27:32,bike,Ride,Afternoon Ride,3010,3073,23274.3,32.0,0.618,173.0,,280.0,,,-0.8255502,,,intervals
i160222893,2026-01-22,2026-01-22T14:02:42,bike,Ride,Afternoon Ride,2177,2177,12736.4,35.0,0.764,214.0,,280.0,,,5.4974074,,,intervals
i160222882,2026-01-25,2026-01-25T11:17:12,bike,Ride,Lunch Ride,2972,3003,30878.71,45.0,0.739,207.0,,280.0,,,16.578754,,,intervals
i160222833,2026-01-27,2026-01-27T13:26:34,bike,Ride,Afternoon Ride,3061,3061,31289.82,47.0,0.746,209.0,,280.0,,,9.961201,,,intervals
i160222783,2026-01-30,2026-01-30T13:24:10,bike,Ride,Afternoon Ride,1873,1874,21098.01,34.0,0.811,227.0,,280.0,,,17.359713,,,intervals
i160222779,2026-01-31,2026-01-31T07:27:08,bike,Ride,Morning Ride,3605,3605,41072.02,26.0,0.514,144.0,,280.0,,,0.68440765,,,intervals
i160222690,2026-02-04,2026-02-04T12:45:22,bike,Ride,Lunch Ride,2133,2133,24309.95,32.0,0.736,206.0,,280.0,,,15.797069,,,intervals
i160222625,2026-02-10,2026-02-10T09:17:45,bike,Ride,Morning Ride,3602,3605,39465.82,26.0,0.514,144.0,,280.0,,,1.6026106,,,intervals
i160222585,2026-02-13,2026-02-13T12:08:42,bike,Ride,Lunch Ride,2078,2078,23328.88,40.0,0.829,232.0,,280.0,,,23.301615,,,intervals
i160222572,2026-02-14,2026-02-14T09:56:16,bike,Ride,Morning Ride,7205,7290,83476.95,56.0,0.529,148.0,,280.0,,,3.7950137,,,intervals
i160222541,2026-02-17,2026-02-17T08:20:54,bike,Ride,Morning Ride,3003,3003,33876.24,22.0,0.514,144.0,,280.0,,,1.4729941,,,intervals
i160222504,2026-02-19,2026-02-19T16:20:21,bike,Ride,Afternoon Ride,2543,2543,28509.82,46.0,0.811,227.0,,280.0,,,21.955149,,,intervals
i160222456,2026-02-24,2026-02-24T08:22:32,bike,Ride,Morning Ride,3603,3658,41139.42,27.0,0.521,146.0,,280.0,,,5.44586,,,intervals
i160222411,2026-02-27,2026-02-27T07:44:41,bike,Ride,Morning Ride,2702,2702,31487.1,36.0,0.693,194.0,,280.0,,,11.430487,,,intervals
i160222360,2026-03-03,2026-03-03T08:19:53,bike,Ride,Morning Ride,3605,3605,38353.23,27.0,0.521,146.0,,280.0,,,3.6292083,,,intervals
i160222331,2026-03-05,2026-03-05T16:22:32,bike,Ride,Afternoon Ride,2702,2702,20716.94,52.0,0.829,232.0,,280.0,,,11.133643,,,intervals
