id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160222248,2026-03-11,2026-03-11T04:21:45,run,Run,Morning Run,2622,2623,9447.98,33.0,0.673,,,,,,,,,intervals
i160222212,2026-03-13,2026-03-13T04:21:13,run,Run,Morning Run,2565,2566,10033.22,36.0,0.711,,,,,,,,,intervals
i160222178,2026-03-15,2026-03-15T07:10:33,run,Run,Morning Run,4694,4739,17009.44,62.0,0.69,,,,,,,,,intervals
i160222163,2026-03-17,2026-03-17T04:13:23,run,Run,Morning Run,2703,2704,11367.87,48.0,0.8,,,,,,,,,intervals
i160222126,2026-03-20,2026-03-20T04:38:00,run,Run,Morning Run,3313,3314,12329.18,39.0,0.651,,,,,,,,,intervals
i160222082,2026-03-21,2026-03-21T08:59:24,run,Run,Morning Run,3276,3287,13239.81,62.0,0.824,,,,,,,,,intervals
i160222067,2026-03-23,2026-03-23T05:23:01,run,Run,Morning Run,3012,3013,12696.11,36.0,0.656,,,,,,,,,intervals
i160222047,2026-03-24,2026-03-24T04:02:28,run,Run,Morning Run,2640,2642,9758.27,29.0,0.629,,,,,,,,,intervals
i160222018,2026-03-26,2026-03-26T04:20:32,run,Run,Morning Run,3070,3071,12335.51,71.0,0.912,,,,,,,,,intervals
i160221972,2026-03-28,2026-03-28T06:04:14,run,Run,Morning Run,3348,3349,12348.49,37.0,0.631,,,,,,,,,intervals
i160221946,2026-03-31,2026-03-31T04:08:34,run,Run,Morning Run,3487,3489,13871.63,60.0,0.787,,,,,,,,,intervals
i160221906,2026-04-02,2026-04-02T04:32:10,run,Run,Morning Run,3480,3498,13730.43,60.0,0.786,,,,,,,,,intervals
i160221864,2026-04-04,2026-04-04T07:20:47,run,Run,Morning Run,5086,5087,19105.7,59.0,0.646,,,,,,,,,intervals
i160221845,2026-04-06,2026-04-06T07:54:58,run,Run,Morning Run,3672,3673,14954.93,61.0,0.773,,,,,,,,,intervals
