id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160227048,2025-01-03,2025-01-03T06:07:00,workout,Workout,Cross Training,3264,3265,657.86,39.0,0.656,,,,,,,,,intervals
i160227042,2025-01-06,2025-01-06T11:03:50,workout,Workout,Cross Training,3392,3393,1293.73,49.0,0.721,,,,,,,,,intervals
i160227039,2025-01-07,2025-01-07T14:06:48,workout,Workout,Cardio Dance,1809,1809,0.0,18.0,0.664,,,,,,,,,intervals
i160227020,2025-01-09,2025-01-09T16:31:43,workout,Workout,Cross Training,2263,2264,645.01,25.0,0.631,,,,,,,,,intervals
i160227018,2025-01-10,2025-01-10T05:57:24,workout,Workout,Cross Training,3903,3904,1855.44,51.0,0.686,,,,,,,,,intervals
i160227003,2025-01-12,2025-01-12T16:39:59,workout,Workout,Cross Training,2531,2532,1324.57,43.0,0.782,,,,,,,,,intervals
i160226963,2025-01-20,2025-01-20T16:29:32,workout,Workout,Cross Training,2360,2361,1047.09,39.0,0.771,,,,,,,,,intervals
i160226959,2025-01-20,2025-01-20T20:20:17,workout,Workout,Volleyball,6249,6250,2572.43,37.0,0.462,,,,,,,,,intervals
i160226955,2025-01-21,2025-01-21T16:05:56,workout,Workout,Cardio Dance,2967,2967,0.0,9.0,0.341,,,,,,,,,intervals
i160226951,2025-01-22,2025-01-22T16:00:08,workout,Workout,Cross Training,2773,2774,1279.96,43.0,0.747,,,,,,,,,intervals
i160226945,2025-01-24,2025-01-24T06:04:06,workout,Workout,Cross Training,3780,3781,391.44,25.0,0.488,,,,,,,,,intervals
i160226918,2025-01-25,2025-01-25T08:21:24,workout,Workout,Cross Training,3870,3871,1740.66,43.0,0.632,,,,,,,,,intervals
i160226895,2025-01-29,2025-01-29T16:36:53,workout,Workout,Cardio Dance,2862,2862,0.0,24.0,0.569,,,,,,,,,intervals
i160226888,2025-01-31,2025-01-31T05:33:36,workout,Workout,Cross Training,5320,5321,4937.02,78.0,0.727,,,,,,,,,intervals
i160226857,2025-02-02,2025-02-02T12:18:59,workout,Workout,Cross Training,2693,2694,1052.87,32.0,0.654,,,,,,,,,intervals
i160226830,2025-02-06,2025-02-06T16:01:02,workout,Workout,Cross Training,2546,2547,1177.86,37.0,0.723,,,,,,,,,intervals
i160226824,2025-02-07,2025-02-07T06:03:38,workout,Workout,Cross Training,3756,3757,2200.1,46.0,0.664,,,,,,,,,intervals
i160226820,2025-02-08,2025-02-08T07:38:13,workout,Workout,Cross Training,3415,3416,1418.82,47.0,0.704,,,,,,,,,intervals
i160226808,2025-02-09,2025-02-09T17:03:06,workout,Workout,Cross Training,3875,3876,1080.2,32.0,0.545,,,,,,,,,intervals
