id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160227052,2025-01-02,2025-01-02T15:54:55,swim,Swim,Pool Swim,1092,1442,1000.0,23.0,0.758,,,,,,,,,intervals
i160226890,2025-01-30,2025-01-30T14:51:29,swim,Swim,Pool Swim,1639,2501,1600.0,34.0,0.7,,,,,,,,,intervals
i160226700,2025-02-19,2025-02-19T05:39:58,swim,Swim,Pool Swim,1098,1412,1000.0,25.0,0.799,,,,,,,,,intervals
i160226646,2025-02-24,2025-02-24T21:02:55,swim,Swim,Pool Swim,1901,3850,1875.0,28.0,0.514,,,,,,,,,intervals
i160226599,2025-03-03,2025-03-03T20:40:18,swim,Swim,Pool Swim,2172,4978,2000.0,23.0,0.425,,,,,,,,,intervals
i160226539,2025-03-10,2025-03-10T21:01:05,swim,Swim,Pool Swim,2146,3909,2000.0,18.0,0.415,,,,,,,,,intervals
i160226348,2025-04-07,2025-04-07T20:09:16,swim,Swim,Pool Swim,2672,6852,2700.0,11.0,0.252,,,,,,,,,intervals
i160226224,2025-04-14,2025-04-14T20:11:07,swim,Swim,Pool Swim,3138,6755,2900.0,34.0,0.43,,,,,,,,,intervals
i160226140,2025-04-18,2025-04-18T13:03:32,swim,Swim,Pool Swim,1390,2456,1250.0,20.0,0.542,,,,,,,,,intervals
i160226093,2025-04-24,2025-04-24T05:37:22,swim,Swim,Pool Swim,1066,1396,1000.0,20.0,0.718,,,,,,,,,intervals
i160226004,2025-04-28,2025-04-28T20:02:19,swim,Swim,Pool Swim,3544,7248,3200.0,43.0,0.464,,,,,,,,,intervals
i160225886,2025-05-05,2025-05-05T20:04:51,swim,Swim,Pool Swim,2985,7188,3150.0,43.0,0.468,,,,,,,,,intervals
i160225797,2025-05-12,2025-05-12T21:03:16,swim,Swim,Pool Swim,1939,3671,2000.0,28.0,0.524,,,,,,,,,intervals
i160225725,2025-05-16,2025-05-16T19:29:00,swim,Swim,Pool Swim,1802,3629,1900.0,24.0,0.488,,,,,,,,,intervals
i160225612,2025-05-26,2025-05-26T20:14:38,swim,Swim,Pool Swim,3169,6413,3350.0,46.0,0.513,,,,,,,,,intervals
i160225557,2025-05-30,2025-05-30T09:27:13,swim,Swim,Pool Swim,1398,2167,1400.0,16.0,0.516,,,,,,,,,intervals
i160225394,2025-06-12,2025-06-12T14:16:55,swim,Swim,Pool Swim,1632,2851,1725.0,20.0,0.505,,,,,,,,,intervals
i160225332,2025-06-17,2025-06-17T13:51:51,swim,Swim,Afternoon Swim,1312,2417,1450.0,32.0,0.695,,,,,,,,,intervals
i160225279,2025-06-22,2025-06-22T10:04:39,swim,Swim,Morning Swim,650,2464,1300.0,19.0,0.664,,,,,,,,,intervals
