id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160229792,2024-01-02,2024-01-02T11:25:25,workout,Workout,Cross Training,2977,2978,1265.84,36.0,0.66,,,,,,,,,intervals
i160229776,2024-01-04,2024-01-04T17:02:46,workout,Workout,Cardio Dance,3201,3201,0.0,10.0,0.337,,,,,,,,,intervals
i160229768,2024-01-06,2024-01-06T07:18:55,workout,Workout,Cross Training,2711,2712,1466.6,38.0,0.71,,,,,,,,,intervals
i160229757,2024-01-08,2024-01-08T15:30:16,workout,Workout,Cross Training,2809,2810,1055.44,25.0,0.566,,,,,,,,,intervals
i160229739,2024-01-09,2024-01-09T17:12:53,workout,Workout,Cardio Dance,2811,2811,0.0,11.0,0.375,,,,,,,,,intervals
i160229717,2024-01-10,2024-01-10T17:14:46,workout,Workout,Cross Training,2552,2553,1292.74,38.0,0.732,,,,,,,,,intervals
i160229708,2024-01-10,2024-01-10T20:23:11,workout,Workout,Volleyball,6207,6208,2621.96,33.0,0.437,,,,,,,,,intervals
i160229674,2024-01-22,2024-01-22T16:54:15,workout,Workout,Cross Training,2812,2813,945.48,40.0,0.716,,,,,,,,,intervals
i160229666,2024-01-23,2024-01-23T14:15:07,workout,Workout,Cross Training,3034,3035,1301.47,42.0,0.706,,,,,,,,,intervals
i160229600,2024-01-26,2024-01-26T07:21:44,workout,Workout,Core Training,1837,1837,0.0,19.0,0.616,,,,,,,,,intervals
i160229594,2024-01-26,2024-01-26T15:30:16,workout,Workout,Other,2201,2201,0.0,7.0,0.42,,,,,,,,,intervals
i160229569,2024-01-28,2024-01-28T07:19:30,workout,Workout,Cross Training,2574,2575,941.25,42.0,0.766,,,,,,,,,intervals
i160229559,2024-01-29,2024-01-29T14:36:10,workout,Workout,Cross Training,2924,2925,1019.31,36.0,0.666,,,,,,,,,intervals
i160229531,2024-01-30,2024-01-30T17:23:50,workout,Workout,Cardio Dance,1985,1985,0.0,29.0,0.725,,,,,,,,,intervals
i160229524,2024-01-31,2024-01-31T16:56:38,workout,Workout,Cross Training,2947,2948,1028.66,36.0,0.663,,,,,,,,,intervals
i160229506,2024-02-02,2024-02-02T05:58:45,workout,Workout,Cross Training,4331,4332,3142.94,65.0,0.735,,,,,,,,,intervals
i160229502,2024-02-02,2024-02-02T14:55:11,workout,Workout,Cross Training,3094,3095,943.45,40.0,0.682,,,,,,,,,intervals
i160229472,2024-02-05,2024-02-05T14:26:32,workout,Workout,Cross Training,2845,2846,968.42,28.0,0.595,,,,,,,,,intervals
i160229466,2024-02-06,2024-02-06T12:24:25,workout,Workout,Cross Training,2545,2546,1049.25,34.0,0.694,,,,,,,,,intervals
i160229454,2024-02-06,2024-02-06T16:51:21,workout,Workout,Cardio Dance,3341,3341,0.0,12.0,0.37,,,,,,,,,intervals
i160229431,2024-02-09,2024-02-09T06:03:24,workout,Workout,Cross Training,4028,4029,1101.18,32.0,0.535,,,,,,,,,intervals
i160229424,2024-02-10,2024-02-10T09:15:21,workout,Workout,Cross Training,3879,3880,1699.77,59.0,0.74,,,,,,,,,intervals
i160229417,2024-02-12,2024-02-12T11:15:08,workout,Workout,Cross Training,2606,2607,1013.15,27.0,0.611,,,,,,,,,intervals
i160229410,2024-02-13,2024-02-13T09:07:58,workout,Workout,Cross Training,2649,2650,1556.86,40.0,0.737,,,,,,,,,intervals
i160229388,2024-02-15,2024-02-15T08:03:19,workout,Workout,Cross Training,2244,2245,2277.79,28.0,0.67,,,,,,,,,intervals
i160229385,2024-02-16,2024-02-16T17:22:19,workout,Workout,Cross Training,2622,2623,831.43,35.0,0.693,,,,,,,,,intervals
i160229351,2024-02-17,2024-02-17T09:05:01,workout,Workout,Cross Training,2617,2618,831.39,33.0,0.674,,,,,,,,,intervals
i160229341,2024-02-18,2024-02-18T18:02:48,workout,Workout,Cardio Dance,5401,5401,0.0,30.0,0.473,,,,,,,,,intervals
i160229337,2024-02-19,2024-02-19T13:54:56,workout,Workout,Cross Training,2157,2158,900.71,25.0,0.646,,,,,,,,,intervals
i160229335,2024-02-20,2024-02-20T17:17:42,workout,Workout,Cardio Dance,2605,2605,0.0,13.0,0.427,,,,,,,,,intervals
i160229333,2024-02-21,2024-02-21T15:56:36,workout,Workout,Cross Training,2716,2717,1107.4,28.0,0.609,,,,,,,,,intervals
i160229328,2024-02-23,2024-02-23T06:01:32,workout,Workout,Cross Training,3772,3773,1080.15,39.0,0.61,,,,,,,,,intervals
i160229305,2024-02-25,2024-02-25T11:03:17,workout,Workout,Cross Training,3751,3752,3213.02,57.0,0.74,,,,,,,,,intervals
i160229303,2024-02-26,2024-02-26T16:14:07,workout,Workout,Cross Training,2667,2668,1084.54,30.0,0.636,,,,,,,,,intervals
i160229294,2024-02-27,2024-02-27T17:12:13,workout,Workout,Cardio Dance,2844,2844,0.0,14.0,0.445,,,,,,,,,intervals
i160229289,2024-02-28,2024-02-28T18:03:56,workout,Workout,Cross Training,2397,2398,774.29,25.0,0.613,,,,,,,,,intervals
i160229275,2024-03-01,2024-03-01T05:40:16,workout,Workout,Cross Training,4824,4825,2768.77,49.0,0.605,,,,,,,,,intervals
i160229248,2024-03-04,2024-03-04T11:03:54,workout,Workout,Cross Training,2350,2351,1274.56,39.0,0.773,,,,,,,,,intervals
i160229243,2024-03-05,2024-03-05T16:50:53,workout,Workout,Cardio Dance,3619,3619,0.0,23.0,0.513,,,,,,,,,intervals
i160229242,2024-03-06,2024-03-06T16:40:23,workout,Workout,Cross Training,2372,2373,475.49,34.0,0.718,,,,,,,,,intervals
i160229239,2024-03-07,2024-03-07T17:33:58,workout,Workout,Cross Training,2484,2485,2795.26,32.0,0.681,,,,,,,,,intervals
i160229233,2024-03-08,2024-03-08T06:01:59,workout,Workout,Cross Training,3666,3667,1661.03,39.0,0.619,,,,,,,,,intervals
