id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160229799,2024-01-01,2024-01-01T10:34:52,run,Run,Outdoor Running,2159,2162,8154.95,46.0,0.875,,,,,,,,,intervals
i160229742,2024-01-09,2024-01-09T07:30:16,run,Run,Indoor Running,2698,2704,9274.97,64.0,0.923,,,,,,,,,intervals
i160229722,2024-01-10,2024-01-10T05:26:06,run,Run,Outdoor Running,2278,2283,8240.03,53.0,0.914,,,,,,,,,intervals
i160229648,2024-01-24,2024-01-24T05:18:01,run,Run,Outdoor Running,2175,2233,8057.58,54.0,0.944,,,,,,,,,intervals
i160229613,2024-01-25,2024-01-25T06:15:46,run,Run,Outdoor Running,2209,2229,8039.55,56.0,0.951,,,,,,,,,intervals
i160229572,2024-01-27,2024-01-27T06:40:22,run,Run,Outdoor Running,2334,2338,8024.59,60.0,0.961,,,,,,,,,intervals
i160229536,2024-01-30,2024-01-30T14:07:38,run,Run,Outdoor Running,2134,2138,8013.48,53.0,0.945,,,,,,,,,intervals
i160229484,2024-02-03,2024-02-03T07:24:18,run,Run,Outdoor Running,1782,1785,6028.1,27.0,0.738,,,,,,,,,intervals
i160229438,2024-02-08,2024-02-08T05:19:21,run,Run,Outdoor Running,2211,2215,8202.8,70.0,1.067,,,,,,,,,intervals
i160229394,2024-02-14,2024-02-14T06:17:37,run,Run,Outdoor Running,2124,2151,8024.44,57.0,0.977,,,,,,,,,intervals
i160229362,2024-02-17,2024-02-17T07:01:18,run,Run,Outdoor Running,1727,1730,6019.54,48.0,1.0,,,,,,,,,intervals
i160229311,2024-02-24,2024-02-24T08:37:58,run,Run,Outdoor Running,2315,2431,7079.87,52.0,0.898,,,,,,,,,intervals
i160229260,2024-03-02,2024-03-02T05:30:57,run,Run,Outdoor Running,4292,4350,16022.11,105.0,0.938,,,,,,,,,intervals
i160229207,2024-03-09,2024-03-09T06:47:53,run,Run,10 km intervals,2658,2705,10066.51,77.0,1.02,,,,,,,,,intervals
i160229171,2024-03-14,2024-03-14T18:52:45,run,Run,Outdoor Running,1833,1836,7006.78,46.0,0.95,,,,,,,,,intervals
i160229138,2024-03-22,2024-03-22T05:38:11,run,Run,Outdoor Running,2370,2693,8154.64,55.0,0.909,,,,,,,,,intervals
i160229120,2024-03-25,2024-03-25T06:24:10,run,Run,Outdoor Running,1647,2708,5823.16,30.0,0.804,,,,,,,,,intervals
i160229079,2024-03-25,2024-03-25T14:41:24,run,Run,Outdoor Running,4729,5513,13571.02,112.0,0.914,,,,,,,,,intervals
i160229054,2024-03-29,2024-03-29T07:45:48,run,Run,Outdoor Running,1156,1160,4499.52,25.0,0.881,,,,,,,,,intervals
i160229032,2024-04-04,2024-04-04T17:08:32,run,Run,Outdoor Running,2088,2091,8064.3,52.0,0.946,,,,,,,,,intervals
i160229016,2024-04-06,2024-04-06T08:06:13,run,Run,Outdoor Running,1712,1717,6025.54,41.0,0.927,,,,,,,,,intervals
i160228948,2024-04-19,2024-04-19T10:20:36,run,Run,Outdoor Running,2655,2859,8199.63,59.0,0.888,,,,,,,,,intervals
