id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160229765,2024-01-07,2024-01-07T05:59:52,yoga,Yoga,Morning Yoga,2700,2700,0.0,4.0,,,,,,,,,,intervals
i160229692,2024-01-17,2024-01-17T16:28:50,yoga,Yoga,Yoga,1805,1805,0.0,3.0,0.247,,,,,,,,,intervals
i160229678,2024-01-21,2024-01-21T05:42:53,yoga,Yoga,Yoga,2411,2411,0.0,6.0,0.302,,,,,,,,,intervals
i160229515,2024-02-01,2024-02-01T18:24:24,yoga,Yoga,Yoga,1969,1969,0.0,5.0,0.307,,,,,,,,,intervals
i160229434,2024-02-08,2024-02-08T17:25:13,yoga,Yoga,Yoga,2402,2402,0.0,7.0,0.331,,,,,,,,,intervals
i160229421,2024-02-11,2024-02-11T07:39:13,yoga,Yoga,Yoga,2331,2331,0.0,9.0,0.373,,,,,,,,,intervals
i160229349,2024-02-18,2024-02-18T07:49:28,yoga,Yoga,Yoga,2706,2706,0.0,5.0,0.26,,,,,,,,,intervals
i160229250,2024-03-03,2024-03-03T09:35:22,yoga,Yoga,Yoga,1811,1811,0.0,7.0,0.38,,,,,,,,,intervals
i160229197,2024-03-10,2024-03-10T13:11:33,yoga,Yoga,Yoga,1962,1962,0.0,6.0,0.334,,,,,,,,,intervals
i160229076,2024-03-27,2024-03-27T15:27:43,yoga,Yoga,Yoga,2186,2186,0.0,8.0,0.365,,,,,,,,,intervals
i160229005,2024-04-07,2024-04-07T12:01:48,yoga,Yoga,Yoga,1866,1866,0.0,6.0,0.341,,,,,,,,,intervals
i160228821,2024-05-14,2024-05-14T14:02:47,yoga,Yoga,Yoga,2294,2294,0.0,6.0,0.317,,,,,,,,,intervals
i160228795,2024-05-19,2024-05-19T08:51:27,yoga,Yoga,Yoga,2098,2098,0.0,6.0,0.322,,,,,,,,,intervals
i160228732,2024-05-26,2024-05-26T15:22:31,yoga,Yoga,Yoga,1502,1502,0.0,5.0,0.347,,,,,,,,,intervals
i160228690,2024-06-02,2024-06-02T08:19:52,yoga,Yoga,Yoga,2507,2689,0.0,9.0,0.364,,,,,,,,,intervals
i160228601,2024-06-16,2024-06-16T08:40:08,yoga,Yoga,Yoga,1814,1814,0.0,4.0,0.283,,,,,,,,,intervals
i160228566,2024-06-23,2024-06-23T11:40:03,yoga,Yoga,Yoga,1763,1763,0.0,4.0,0.295,,,,,,,,,intervals
i160228525,2024-06-29,2024-06-29T11:42:29,yoga,Yoga,Yoga,2412,2412,0.0,4.0,0.25,,,,,,,,,intervals
i160228428,2024-07-07,2024-07-07T10:28:40,yoga,Yoga,Yoga,1858,1858,0.0,5.0,0.317,,,,,,,,,intervals
i160228376,2024-07-14,2024-07-14T13:46:11,yoga,Yoga,Yoga,2549,2549,0.0,4.0,0.251,,,,,,,,,intervals
i160228250,2024-07-28,2024-07-28T17:05:05,yoga,Yoga,Yoga,3711,3711,0.0,16.0,0.394,,,,,,,,,intervals
i160228092,2024-08-17,2024-08-17T15:14:48,yoga,Yoga,Yoga,3518,3518,0.0,6.0,0.248,,,,,,,,,intervals
i160228034,2024-08-27,2024-08-27T16:34:58,yoga,Yoga,Yoga,2084,2084,0.0,4.0,0.292,,,,,,,,,intervals
i160228024,2024-08-29,2024-08-29T15:06:58,yoga,Yoga,Yoga,1817,1817,0.0,4.0,0.282,,,,,,,,,intervals
i160227981,2024-09-07,2024-09-07T10:05:35,yoga,Yoga,Yoga,2078,2078,0.0,5.0,0.302,,,,,,,,,intervals
i160227934,2024-09-13,2024-09-13T16:50:54,yoga,Yoga,Yoga,2706,2706,0.0,6.0,0.287,,,,,,,,,intervals
i160227873,2024-09-20,2024-09-20T14:20:41,yoga,Yoga,Yoga,1919,1919,0.0,3.0,0.244,,,,,,,,,intervals
i160227811,2024-09-25,2024-09-25T17:01:32,yoga,Yoga,Yoga,1997,1997,0.0,5.0,0.311,,,,,,,,,intervals
i160227801,2024-09-28,2024-09-28T10:10:09,yoga,Yoga,Yoga,1972,1972,0.0,5.0,0.308,,,,,,,,,intervals
i160227726,2024-10-04,2024-10-04T16:11:25,yoga,Yoga,Yoga,1879,1879,0.0,3.0,0.244,,,,,,,,,intervals
i160227678,2024-10-10,2024-10-10T18:03:42,yoga,Yoga,Yoga,2033,2033,0.0,4.0,0.27,,,,,,,,,intervals
i160227638,2024-10-13,2024-10-13T14:02:58,yoga,Yoga,Yoga,2423,2423,0.0,7.0,0.325,,,,,,,,,intervals
i160227539,2024-11-02,2024-11-02T08:56:01,yoga,Yoga,Yoga,2434,2434,0.0,4.0,0.266,,,,,,,,,intervals
i160227422,2024-11-10,2024-11-10T17:18:31,yoga,Yoga,Yoga,1922,1922,0.0,4.0,0.287,,,,,,,,,intervals
i160227337,2024-11-23,2024-11-23T09:09:05,yoga,Yoga,Yoga,2475,2475,0.0,16.0,0.486,,,,,,,,,intervals
i160227268,2024-12-03,2024-12-03T17:25:42,yoga,Yoga,Yoga,1859,1859,0.0,9.0,0.442,,,,,,,,,intervals
i160227246,2024-12-07,2024-12-07T13:20:55,yoga,Yoga,Yoga,1827,1827,0.0,6.0,0.348,,,,,,,,,intervals
i160227120,2024-12-24,2024-12-24T11:06:56,yoga,Yoga,Yoga,1895,1895,0.0,4.0,0.282,,,,,,,,,intervals
i160227069,2024-12-31,2024-12-31T15:00:37,yoga,Yoga,Yoga,1851,1851,0.0,7.0,0.398,,,,,,,,,intervals
