id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160228641,2024-06-08,2024-06-08T10:21:18,transition,Transition,Multisport,317,318,604.67,6.0,,,,,,,,,,intervals
i160228649,2024-06-08,2024-06-08T11:51:32,transition,Transition,Multisport,84,85,95.78,1.0,,,,,,,,,,intervals
i160227766,2024-09-29,2024-09-29T06:11:52,transition,Transition,Multisport,682,716,618.12,3.0,0.389,,,,,,,,,intervals
i160227777,2024-09-29,2024-09-29T07:52:04,transition,Transition,Multisport,217,218,60.99,2.0,,,,,,,,,,intervals
