id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160232447,2023-05-21,2023-05-21T11:16:15,workout,Workout,Core Training,387,387,0.0,3.0,,,,,,,,,,intervals
i160232441,2023-05-21,2023-05-21T11:23:17,workout,Workout,HIIT,1410,1410,0.0,27.0,0.831,,,,,,,,,intervals
i160232398,2023-05-24,2023-05-24T07:23:04,workout,Workout,Core Training,295,295,0.0,1.0,,,,,,,,,,intervals
i160232381,2023-05-25,2023-05-25T22:36:54,workout,Workout,Cooldown,1077,1077,0.0,3.0,0.336,,,,,,,,,intervals
i160232378,2023-05-26,2023-05-26T21:45:51,workout,Workout,Core Training,560,560,0.0,2.0,,,,,,,,,,intervals
i160232330,2023-05-28,2023-05-28T08:05:38,workout,Workout,Core Training,1285,1540,0.0,4.0,0.337,,,,,,,,,intervals
i160232316,2023-05-31,2023-05-31T16:57:14,workout,Workout,Volleyball,7413,9227,3633.31,50.0,0.493,,,,,,,,,intervals
i160232277,2023-06-01,2023-06-01T21:09:23,workout,Workout,Cardio Dance,2404,2404,0.0,17.0,0.518,,,,,,,,,intervals
i160232228,2023-06-04,2023-06-04T00:19:54,workout,Workout,Cardio Dance,995,995,0.0,2.0,0.269,,,,,,,,,intervals
i160232180,2023-06-06,2023-06-06T15:15:16,workout,Workout,Cross Training,1808,1809,596.04,30.0,0.773,,,,,,,,,intervals
i160232093,2023-06-11,2023-06-11T12:38:21,workout,Workout,Cross Training,3333,3334,1108.38,21.0,0.476,,,,,,,,,intervals
i160232063,2023-06-13,2023-06-13T12:15:54,workout,Workout,Cross Training,3240,3241,785.74,15.0,0.408,,,,,,,,,intervals
i160232036,2023-06-15,2023-06-15T19:48:09,workout,Workout,Cardio Dance,1656,1656,0.0,24.0,0.723,,,,,,,,,intervals
