id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160232464,2023-05-21,2023-05-21T05:42:33,run,Run,Outdoor Running,3020,3029,10292.12,63.0,0.865,,,,,,,,,intervals
i160232424,2023-05-23,2023-05-23T19:32:37,run,Run,Outdoor Running,1449,1457,5289.58,26.0,0.802,,,,,,,,,intervals
i160232408,2023-05-24,2023-05-24T06:05:41,run,Run,Outdoor Running,3703,3772,12055.5,81.0,0.886,,,,,,,,,intervals
i160232352,2023-05-27,2023-05-27T14:23:02,run,Run,Multisport,7463,7467,20263.58,160.0,0.878,,,,,,,,,intervals
i160232325,2023-05-30,2023-05-30T12:18:03,run,Run,Indoor Running,592,659,1564.8,15.0,0.906,,,,,,,,,intervals
i160232257,2023-06-03,2023-06-03T06:02:55,run,Run,Outdoor Running,1600,1633,5071.11,34.0,0.874,,,,,,,,,intervals
i160232183,2023-06-06,2023-06-06T15:03:46,run,Run,Indoor Running,599,650,1577.51,15.0,0.912,,,,,,,,,intervals
i160232132,2023-06-09,2023-06-09T09:13:43,run,Run,Indoor Running,7577,7584,18575.49,198.0,0.97,,,,,,,,,intervals
i160232045,2023-06-14,2023-06-14T16:19:49,run,Run,Outdoor Running,2337,2402,8467.17,54.0,0.906,,,,,,,,,intervals
i160231959,2023-06-21,2023-06-21T15:07:54,run,Run,Outdoor Running,2487,2525,8709.08,66.0,0.977,,,,,,,,,intervals
i160231907,2023-06-27,2023-06-27T11:30:20,run,Run,Indoor Running,613,646,1978.6,13.0,0.852,,,,,,,,,intervals
i160231872,2023-06-28,2023-06-28T15:21:03,run,Run,Outdoor Running,2501,2579,8883.04,51.0,0.849,,,,,,,,,intervals
i160231817,2023-07-06,2023-07-06T05:30:44,run,Run,Outdoor Running,2641,2746,9193.76,61.0,0.906,,,,,,,,,intervals
i160231785,2023-07-07,2023-07-07T05:30:13,run,Run,Outdoor Running,1177,1181,4009.18,22.0,0.819,,,,,,,,,intervals
i160231769,2023-07-07,2023-07-07T06:09:00,run,Run,Outdoor Running,1283,1394,4410.06,14.0,0.625,,,,,,,,,intervals
i160231692,2023-07-12,2023-07-12T15:16:56,run,Run,Outdoor Running,2441,2464,8568.29,62.0,0.952,,,,,,,,,intervals
i160231600,2023-07-20,2023-07-20T15:16:38,run,Run,Outdoor Running,2084,2089,8003.04,53.0,0.956,,,,,,,,,intervals
i160231525,2023-07-27,2023-07-27T17:53:26,run,Run,Outdoor Running,2502,2567,8196.53,48.0,0.83,,,,,,,,,intervals
i160231403,2023-08-03,2023-08-03T15:30:55,run,Run,Outdoor Running,2402,2473,8346.74,47.0,0.833,,,,,,,,,intervals
i160231352,2023-08-06,2023-08-06T13:14:02,run,Run,Outdoor Running,7043,7047,20748.21,180.0,0.959,,,,,,,,,intervals
i160231342,2023-08-07,2023-08-07T08:41:23,run,Run,Outdoor Running,326,330,1115.95,0.0,,,,,,,,,,intervals
i160231182,2023-08-20,2023-08-20T05:44:19,run,Run,Outdoor Running,2489,2492,8729.05,49.0,0.842,,,,,,,,,intervals
i160231152,2023-08-24,2023-08-24T15:13:56,run,Run,Outdoor Running,2417,2421,8110.68,44.0,0.809,,,,,,,,,intervals
i160231148,2023-08-24,2023-08-24T15:59:35,run,Run,Outdoor Running,246,305,908.08,4.0,,,,,,,,,,intervals
i160231099,2023-08-26,2023-08-26T05:31:39,run,Run,Outdoor Running,15938,15942,42314.5,351.0,0.89,,,,,,,,,intervals
i160231067,2023-09-02,2023-09-02T06:03:01,run,Run,Outdoor Running,2469,2579,8102.71,55.0,0.89,,,,,,,,,intervals
i160231006,2023-09-06,2023-09-06T06:36:23,run,Run,Outdoor Running,2702,2774,8455.7,64.0,0.917,,,,,,,,,intervals
i160230952,2023-09-10,2023-09-10T09:34:07,run,Run,Indoor Running,1942,1988,5453.9,51.0,0.961,,,,,,,,,intervals
i160230912,2023-09-12,2023-09-12T06:19:35,run,Run,Outdoor Running,1611,1715,6029.31,41.0,0.956,,,,,,,,,intervals
