id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160232437,2023-05-21,2023-05-21T11:53:26,swim,Swim,Pool Swim,539,631,500.0,9.0,0.717,,,,,,,,,intervals
i160232145,2023-06-09,2023-06-09T05:36:55,swim,Swim,Pool Swim,2168,2369,1900.0,48.0,0.854,,,,,,,,,intervals
i160232041,2023-06-15,2023-06-15T14:06:35,swim,Swim,Pool Swim,2091,2683,2000.0,29.0,0.624,,,,,,,,,intervals
i160231946,2023-06-22,2023-06-22T17:14:53,swim,Swim,Pool Swim,2150,2358,1950.0,30.0,0.677,,,,,,,,,intervals
i160231867,2023-06-30,2023-06-30T05:42:27,swim,Swim,Pool Swim,3580,3880,3000.0,86.0,0.893,,,,,,,,,intervals
i160231583,2023-07-22,2023-07-22T10:16:10,swim,Swim,Pool Swim,1098,1199,1000.0,12.0,0.601,,,,,,,,,intervals
i160231504,2023-07-30,2023-07-30T08:24:00,swim,Swim,Pool Swim,1171,1311,1050.0,0.0,,,,,,,,,,intervals
i160231491,2023-08-01,2023-08-01T05:35:39,swim,Swim,Pool Swim,2153,2335,1900.0,35.0,0.735,,,,,,,,,intervals
i160231285,2023-08-14,2023-08-14T05:38:54,swim,Swim,Pool Swim,4809,5212,3800.0,87.0,0.775,,,,,,,,,intervals
i160231172,2023-08-22,2023-08-22T05:34:39,swim,Swim,Pool Swim,2313,2476,1900.0,38.0,0.743,,,,,,,,,intervals
i160231080,2023-08-30,2023-08-30T05:34:46,swim,Swim,Pool Swim,2333,2543,1900.0,0.0,,,,,,,,,,intervals
i160230891,2023-09-15,2023-09-15T05:36:18,swim,Swim,Pool Swim,1004,1515,1000.0,16.0,0.624,,,,,,,,,intervals
i160230854,2023-09-21,2023-09-21T05:36:52,swim,Swim,Pool Swim,1034,1381,1000.0,21.0,0.74,,,,,,,,,intervals
i160230752,2023-09-29,2023-09-29T05:38:12,swim,Swim,Pool Swim,845,1668,1000.0,13.0,0.53,,,,,,,,,intervals
i160230674,2023-10-05,2023-10-05T05:38:11,swim,Swim,Pool Swim,860,1708,1000.0,16.0,0.581,,,,,,,,,intervals
i160230617,2023-10-11,2023-10-11T05:36:46,swim,Swim,Pool Swim,1020,1482,1000.0,21.0,0.714,,,,,,,,,intervals
i160230568,2023-10-19,2023-10-19T05:37:26,swim,Swim,Pool Swim,1159,1407,1000.0,21.0,0.733,,,,,,,,,intervals
i160230490,2023-10-26,2023-10-26T05:38:43,swim,Swim,Pool Swim,1069,1458,1000.0,18.0,0.667,,,,,,,,,intervals
i160230368,2023-11-07,2023-11-07T05:40:14,swim,Swim,Pool Swim,1151,1263,950.0,31.0,0.952,,,,,,,,,intervals
i160230304,2023-11-14,2023-11-14T07:34:11,swim,Swim,Pool Swim,1163,1312,1000.0,20.0,0.741,,,,,,,,,intervals
i160230163,2023-11-24,2023-11-24T09:27:48,swim,Swim,Pool Swim,1359,1516,1000.0,7.0,0.408,,,,,,,,,intervals
i160230058,2023-12-07,2023-12-07T07:20:53,swim,Swim,Pool Swim,1133,1252,1000.0,15.0,0.657,,,,,,,,,intervals
i160230014,2023-12-14,2023-12-14T05:37:45,swim,Swim,Pool Swim,1083,1667,1000.0,21.0,0.674,,,,,,,,,intervals
i160229942,2023-12-21,2023-12-21T05:38:46,swim,Swim,Pool Swim,1077,1435,1000.0,17.0,0.653,,,,,,,,,intervals
i160229861,2023-12-23,2023-12-23T14:03:42,swim,Swim,Pool Swim,1066,1555,1000.0,18.0,0.654,,,,,,,,,intervals
